node,window,dio_tx_count,dio_rx_count,dao_tx_count,dao_rx_count,dis_tx_count,global_repair_count,local_repair_count,parent_switch_count,queue_flush_count,not_assoc_count,distinct_dio_versions_seen,poison_dio_recv_count,rank_last,dioint_last,nbrcount_last,rank_std,infinite_rank_count,tx_count,energy_used_sum,energy_rate_mj_per_s_mean,delivered_count,avg_latency_ms,is_attacker_node_GROUNDTRUTH,scenario,run_id
1,111,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
1,112,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
1,113,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
1,114,0,0,0,0,0,0,0,0,0,0,0,0,128.0,20.0,8.0,,0,0,,,0,,0,attack,s02
1,115,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
1,116,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
1,117,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
1,118,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
1,119,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
1,120,0,0,0,0,0,0,0,0,0,0,0,0,128.0,20.0,8.0,,0,0,,,0,,0,attack,s02
1,121,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
1,122,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
1,123,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
1,124,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
1,125,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
1,126,0,0,0,0,0,0,0,0,0,0,0,0,128.0,20.0,8.0,,0,0,,,0,,0,attack,s02
1,127,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
1,128,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
1,129,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
1,130,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
1,131,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
1,132,0,0,0,0,0,0,0,0,0,0,0,0,128.0,20.0,8.0,,0,0,,,0,,0,attack,s02
1,133,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
1,134,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
1,135,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
1,136,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
1,137,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
1,138,0,0,0,0,0,0,0,0,0,0,0,0,128.0,20.0,8.0,,0,0,,,0,,0,attack,s02
1,139,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
1,140,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
1,141,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
1,142,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
1,143,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
1,144,0,0,0,0,0,0,0,0,0,0,0,0,128.0,20.0,8.0,,0,0,,,0,,0,attack,s02
1,145,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
1,146,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
1,147,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
1,148,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
1,149,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
1,150,0,0,0,0,0,0,0,0,0,0,0,0,128.0,20.0,8.0,,0,0,,,0,,0,attack,s02
1,151,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
1,152,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
1,153,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
1,154,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
1,155,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
